Number of Threads,Average Time (seconds)
1,9.6415105342865
2,7.934210562705994
3,7.936966276168823
4,7.859157562255859
5,7.814599704742432
6,7.801086521148681
7,7.859244775772095
8,7.860639262199402
9,7.856147122383118
10,7.803276491165161
